measurement_error,variable
independent_nondifferential,age
dependent_nondifferential,weight
independent_nondifferential,height
independent_nondifferential,age
independent_nondifferential,age
independent_nondifferential,age
independent_nondifferential,age
independent_nondifferential,age
independent_nondifferential,age
dependent_nondifferential,bmi
independent_nondifferential,uta_ri_r
independent_nondifferential,uta_pi_r
independent_nondifferential,uta_psv_r
independent_nondifferential,uta_ri_l
independent_nondifferential,uta_pi_l
independent_nondifferential,uta_psv_l
independent_nondifferential,uta_ri
independent_nondifferential,uta_pi
independent_nondifferential,uta_psv
independent_nondifferential,ga
independent_nondifferential,bw
independent_differential,sflt1
independent_differential,sflt1_plgf
